"FID"	"IID"	"region"
"CLM23"	"HG01278"	"CLM"
"CLM23"	"HG01279"	"CLM"
"CLM24"	"HG01280"	"CLM"
"CLM24"	"HG01281"	"CLM"
"CLM25"	"HG01284"	"CLM"
"PR58"	"HG01286"	"PUR"
"PR59"	"HG01301"	"PUR"
"PR59"	"HG01302"	"PUR"
"PR59"	"HG01303"	"PUR"
"PR61"	"HG01305"	"PUR"
"PR62"	"HG01308"	"PUR"
"PR63"	"HG01311"	"PUR"
"PR63"	"HG01312"	"PUR"
"PR67"	"HG01322"	"PUR"
"PR67"	"HG01323"	"PUR"
"PR67"	"HG01324"	"PUR"
"PR68"	"HG01325"	"PUR"
"PR68"	"HG01326"	"PUR"
"PR68"	"HG01327"	"PUR"
"CLM26"	"HG01341"	"CLM"
"CLM26"	"HG01342"	"CLM"
"CLM26"	"HG01343"	"CLM"
"CLM27"	"HG01344"	"CLM"
"CLM27"	"HG01345"	"CLM"
"CLM27"	"HG01346"	"CLM"
"CLM28"	"HG01347"	"CLM"
"CLM28"	"HG01348"	"CLM"
"CLM28"	"HG01349"	"CLM"
"CLM29"	"HG01350"	"CLM"
"CLM29"	"HG01351"	"CLM"
"CLM29"	"HG01352"	"CLM"
"CLM30"	"HG01353"	"CLM"
"CLM30"	"HG01354"	"CLM"
"CLM30"	"HG01355"	"CLM"
"CLM31"	"HG01356"	"CLM"
"CLM31"	"HG01357"	"CLM"
"CLM31"	"HG01358"	"CLM"
"CLM32"	"HG01359"	"CLM"
"CLM32"	"HG01360"	"CLM"
"CLM32"	"HG01361"	"CLM"
"CLM33"	"HG01362"	"CLM"
"CLM33"	"HG01363"	"CLM"
"CLM33"	"HG01364"	"CLM"
"CLM34"	"HG01365"	"CLM"
"CLM34"	"HG01366"	"CLM"
"CLM34"	"HG01367"	"CLM"
"CLM35"	"HG01369"	"CLM"
"CLM36"	"HG01372"	"CLM"
"CLM37"	"HG01374"	"CLM"
"CLM37"	"HG01375"	"CLM"
"CLM37"	"HG01376"	"CLM"
"CLM38"	"HG01377"	"CLM"
"CLM38"	"HG01378"	"CLM"
"CLM38"	"HG01379"	"CLM"
"CLM40"	"HG01383"	"CLM"
"CLM40"	"HG01384"	"CLM"
"CLM40"	"HG01385"	"CLM"
"CLM42"	"HG01389"	"CLM"
"CLM42"	"HG01390"	"CLM"
"CLM42"	"HG01391"	"CLM"
"PR70"	"HG01392"	"PUR"
"PR70"	"HG01393"	"PUR"
"PR70"	"HG01394"	"PUR"
"PR71"	"HG01395"	"PUR"
"PR71"	"HG01396"	"PUR"
"PR71"	"HG01397"	"PUR"
"PR72"	"HG01398"	"PUR"
"PR74"	"HG01402"	"PUR"
"PR74"	"HG01403"	"PUR"
"PR74"	"HG01404"	"PUR"
"PR75"	"HG01405"	"PUR"
"PR63"	"HG01411"	"PUR"
"PR76"	"HG01412"	"PUR"
"PR78"	"HG01413"	"PUR"
"PR78"	"HG01414"	"PUR"
"PR78"	"HG01415"	"PUR"
"CLM43"	"HG01431"	"CLM"
"CLM43"	"HG01432"	"CLM"
"CLM43"	"HG01433"	"CLM"
"CLM44"	"HG01435"	"CLM"
"CLM45"	"HG01437"	"CLM"
"CLM45"	"HG01438"	"CLM"
"CLM45"	"HG01439"	"CLM"
"CLM46a"	"HG01440"	"CLM"
"CLM46"	"HG01441"	"CLM"
"CLM46"	"HG01442"	"CLM"
"CLM47"	"HG01443"	"CLM"
"CLM47"	"HG01444"	"CLM"
"CLM47"	"HG01445"	"CLM"
"CLM48"	"HG01447"	"CLM"
"CLM50"	"HG01452"	"CLM"
"CLM50"	"HG01453"	"CLM"
"CLM50"	"HG01454"	"CLM"
"CLM51"	"HG01455"	"CLM"
"CLM51"	"HG01456"	"CLM"
"CLM51"	"HG01457"	"CLM"
